k      ?                       A_2                     A_4                     
1      0.02454369260617026     1.272721831201073       0.11565016927153915     
2      0.04908738521234052     1.2399915772739833      0.012927121761649046    
3      0.07363107781851078     1.2546398613964471      0.7190962982133677      
4      0.09817477042468103     1.2931738155478159      1.2373858220272052E-4   
5      0.1227184630308513      1.2484016384961962      0.23201951156804096     
6      0.14726215563702155     1.1719854146230448      3.274822048485397E-6    
7      0.1718058482431918      1.2249510448786858      0.009035882534671028    
8      0.19634954084936207     1.2344679592004635      1.839046609431743E-7    
9      0.22089323345553233     1.2695818690716336      1.1116904339086787E-7   
10     0.2454369260617026      1.2919869879845043      8.898377920010398E-8    
11     0.2699806186678728      1.2464615403850632      3.637594799351123E-6    
12     0.2945243112740431      1.2627268053313845      3.8008928182998805E-8   
13     0.3190680038802134      1.2270562684184756      4.140994308779924E-9    
14     0.3436116964863836      1.2118422262097177      6.315939322689986E-10   
15     0.36815538909255385     1.1692780979019457      9.407206644657619E-10   
16     0.39269908169872414     1.1909327553349902      2.605249034122526E-10   
17     0.4172427743048944      1.1784147838973962      9.189257108430902E-11   
18     0.44178646691106466     1.2521804182302587      1.4704290002444015E-10  
19     0.4663301595172349      1.1527100371784305      9.072935759910756E-13   
20     0.4908738521234052      1.190826535885729       4.20269559846087E-13    
21     0.5154175447295755      1.2758238118050913      1.6549986780339625E-10  
22     0.5399612373357456      1.2690122041366412      1.7476908480102092E-10  
23     0.5645049299419159      1.0623222570048316      1.4523444935637668E-14  
24     0.5890486225480862      1.13901644169918        3.289481299715353E-14   
25     0.6135923151542565      1.2221886825290278      2.5044546973975374E-16  
26     0.6381360077604268      1.1757280345575232      3.5819270511504734E-16  
27     0.662679700366597       1.1469778400468587      8.123069877135322E-12   
28     0.6872233929727672      1.1632253129585717      1.1374551132660247E-17  
29     0.7117670855789375      1.2221754017080648      3.2285613627407465E-19  
30     0.7363107781851077      1.1360113377610128      1.1319048723381204E-19  
31     0.760854470791278       1.1377672661905445      7.969005237600885E-20   
32     0.7853981633974483      1.1498492315841888      9.422467671966957E-21   
33     0.8099418560036186      1.1337907368855915      1.0072518543297241E-20  
34     0.8344855486097889      1.1385283033976181      1.3406217209911535E-20  
35     0.859029241215959       1.0875388385668618      1.124852112552494E-22   
36     0.8835729338221293      1.0883317132686459      1.1690550059560476E-20  
37     0.9081166264282996      1.071803700651127       1.0556246332854459E-21  
38     0.9326603190344698      1.0825468442935946      1.0921369025114194E-20  
39     0.9572040116406401      1.0863032671442356      9.848770629503288E-22   
40     0.9817477042468103      0.9687304024927638      5.2348268737274184E-23  
41     1.0062913968529805      1.0082093731034556      9.936507108293245E-21   
42     1.030835089459151       1.0079396795418851      9.697561771190525E-21   
43     1.055378782065321       1.048092619360765       1.0636369357275946E-21  
44     1.0799224746714913      1.0002756102699115      1.5177189042892513E-20  
45     1.1044661672776617      0.9598528501824917      1.005583504716386E-21   
46     1.1290098598838318      1.0087783530511159      1.3964488950514355E-20  
47     1.1535535524900022      0.941618084759083       3.592056043818531E-22   
48     1.1780972450961724      0.973279215090731       4.452962037791567E-22   
49     1.2026409377023426      0.881479873117735       8.324958942235344E-21   
50     1.227184630308513       0.9442596406835501      1.1734049743140535E-20  
51     1.2517283229146832      0.9329268546905177      8.070221240898824E-21   
52     1.2762720155208536      0.9279939103501978      7.46461840375917E-22    
53     1.3008157081270237      0.897214445530197       7.397521050604692E-22   
54     1.325359400733194       0.8356687187937913      7.3307266200378185E-22  
55     1.3499030933393643      0.8773541950402993      7.677916295111345E-21   
56     1.3744467859455345      0.8532152468709868      7.607638254787016E-21   
57     1.3989904785517047      0.7897543382686283      9.112921177113128E-21   
58     1.423534171157875       0.9314745570658021      7.001298306017524E-22   
59     1.4480778637640452      0.7494776264855577      3.1116881360077883E-22  
60     1.4726215563702154      0.8188192619134467      7.398742838374698E-21   
61     1.4971652489763858      0.7502809923585401      7.433356792718348E-21   
62     1.521708941582556       0.7771499654754683      3.6812396992085566E-23  
63     1.5462526341887264      0.8536933158006218      7.329757267757483E-21   
64     1.5707963267948966      0.7773580690982406      7.329757267757483E-21   
