p                       y(1)                              
4.0                     0.135726678410996                 
5.0                     -0.08584370321449729              
4.612566884685908       -0.011333445629095757             
4.565358346497272       -0.0011957529279220556            
4.560421033512551       -1.2289009501231102E-4            
4.559914074272174       -1.2595197429531718E-5            
4.559862120050514       -1.2905392634209555E-6            
4.559856796725826       -1.3222847117851794E-7            
4.5598562512992595      -1.3548070849217497E-8            
4.5598561954151         -1.3881287803246822E-9            
p^(1) = 4.5598561954151
